,Unnamed: 0,tweet,hash,stopped,lemmaed
82,82,dear india vote your conscience,loksabhaelections2019,dear india vote conscience,dear india vote conscience
83,83,vote for congress,loksabhaelections2019,vote congress,vote congress
84,84,google doodle with inked finger,loksabhaelections2019,google doodle inked finger,google doodle inked finger
85,85,im not worried about the people of this country im worried about the leaders,loksabhaelections2019,im worried people country im worried leaders,im worried people country im worried leader
86,86,pulivendula is ready to,voteforfan,pulivendula ready,pulivendula ready
87,87,key issues in indias massive general election,indiaelections2019,key issues indias massive general election,key issue india massive general election
88,88,all set for phase 1 of people have turned up early morning in guntur andhra pradesh,loksabhaelections2019,set phase 1 people turned early morning guntur andhra pradesh,set phase 1 people turned early morning guntur andhra pradesh
89,89,voting for the first phase has started,loksabhaelections2019,voting first phase started,voting first phase started
91,91,first phase of and polling for 4 state assembly today,loksabhaelections2019,first phase polling 4 state assembly today,first phase polling 4 state assembly today
94,94,as indians visit the polls today follow along with all the developments,indiaelections2019,indians visit polls today follow along developments,indian visit poll today follow along development
95,95,we seen ecisveep on let us seen on it,modibiopic,seen ecisveep let us seen,seen ecisveep let u seen
96,96,the game is on,loksabhaelections2019,game,game
97,97,voting begins for 91 constituencies in 20 states and union territories in the 1st phase of,loksabhaelections2019,voting begins 91 constituencies 20 states union territories 1st phase,voting begin 91 constituency 20 state union territory 1st phase
98,98,state parties tussle for power as mega elections begin in india,indiaelections2019,state parties tussle power mega elections begin india,state party tussle power mega election begin india
99,99,voting on 91 constituencies is start,loksabhaelections2019,voting 91 constituencies start,voting 91 constituency start
100,100,vote for india happy elections to all,loksabhaelections2019,vote india happy elections,vote india happy election
101,101,and now india begins the biggest ever election battle fought by any democracy in the history of mankind,indiadecides2019,india begins biggest ever election battle fought democracy history mankind,india begin biggest ever election battle fought democracy history mankind
102,102,the battle begin,loksabhaelections2019,battle begin,battle begin
103,103,loktantra ke utsav me sab hissa le,loksabhaelections2019,loktantra ke utsav sab hissa le,loktantra ke utsav sab hissa le
105,105,voting begins for 91 constituencies in 20 states and union territories in the 1st phase of,loksabhaelections2019,voting begins 91 constituencies 20 states union territories 1st phase,voting begin 91 constituency 20 state union territory 1st phase
106,106,everyone go and vote and choose the right leader for the country,loksabhaelections2019,everyone go vote choose right leader country,everyone go vote choose right leader country
107,107,this bunch is excited amp waiting to cast their ballot constituency baghpat uttar pradesh,loksabhaelections2019,bunch excited amp waiting cast ballot constituency baghpat uttar pradesh,bunch excited amp waiting cast ballot constituency baghpat uttar pradesh
108,108,lok sabha elections 2019 first phase of polling across india today,loksabhaelections2019,lok sabha elections 2019 first phase polling across india today,lok sabha election 2019 first phase polling across india today
109,109,lok sabha elections 2019 the 10 biggest battles in phase 1,loksabhaelections2019,lok sabha elections 2019 10 biggest battles phase 1,lok sabha election 2019 10 biggest battle phase 1
110,110,general elections begin 91 seats vote today in first phase 10 points,loksabhaelections2019,general elections begin 91 seats vote today first phase 10 points,general election begin 91 seat vote today first phase 10 point
111,111,shadow of cab on lok sabha elections tse 20190411,loksabhaelections2019,shadow cab lok sabha elections tse 20190411,shadow cab lok sabha election tse 20190411
112,112,podcast 2070 the 2019 lok sabha elections in india myindmakers,loksabhaelections2019,podcast 2070 2019 lok sabha elections india myindmakers,podcast 2070 2019 lok sabha election india myindmakers
114,114,mega poll battle begins voting on 91 seats across 20 states underway live updates,loksabhaelections2019,mega poll battle begins voting 91 seats across 20 states underway live updates,mega poll battle begin voting 91 seat across 20 state underway live update
115,115,sukanyaiyer2 narendramodi amitshah bjp4india myogiadityanath devfadnavis,loksabhaelections2019,sukanyaiyer2 narendramodi amitshah bjp4india myogiadityanath devfadnavis,sukanyaiyer2 narendramodi amitshah bjp4india myogiadityanath devfadnavis
117,117,who will win,loksabhaelections2019,win,win
118,118,voting begins in maharashtra wb odisha j ampk catch all live updates here,loksabhaelections2019,voting begins maharashtra wb odisha j ampk catch live updates,voting begin maharashtra wb odisha j ampk catch live update
119,119,and so it begins,loksabhaelections2019,begins,begin
120,120,its that day,loksabhaelections2019,day,day
121,121,whats your prediction for bjp and congress in first phase,loksabhaelections2019,whats prediction bjp congress first phase,whats prediction bjp congress first phase
122,122,tomorrow is,here,tomorrow,tomorrow
123,123,voting begins for 91 constituencies in 20 states and union territories in the 1st phase of,loksabhaelections2019,voting begins 91 constituencies 20 states union territories 1st phase,voting begin 91 constituency 20 state union territory 1st phase
124,124,and it begins pc nytimes,loksabhaelections2019,begins pc nytimes,begin pc nytimes
125,125,the festival of democracy begins in india,loksabhaelections2019,festival democracy begins india,festival democracy begin india
126,126,vote for vikas not bakwasvote for pm not chokidar,loksabhaelections2019,vote vikas bakwasvote pm chokidar,vote vikas bakwasvote pm chokidar
127,127,uttar pradesh again holds the key to,loksabhaelections2019,uttar pradesh holds key,uttar pradesh hold key
128,128,vote wisely india,indiaelections2019,vote wisely india,vote wisely india
129,129,go and cast your vote,loksabhaelections2019,go cast vote,go cast vote
130,130,normal people cast your voteravish kumar caste your vote,loksabhaelections2019,normal people cast voteravish kumar caste vote,normal people cast voteravish kumar caste vote
131,131,narendramodi,loksabhaelections2019,narendramodi,narendramodi
132,132,there is excitement in the air the time has finally come go and vote,loksabhaelections2019,excitement air time finally come go vote,excitement air time finally come go vote
133,133,all india lok sabha and odishaandhra assembly exit poll results will declared on may 19th 2019,loksabhaelections2019,india lok sabha odishaandhra assembly exit poll results declared may 19th 2019,india lok sabha odishaandhra assembly exit poll result declared may 19th 2019
134,134,in this navratri vote for those who protect our culture,loksabhaelections2019,navratri vote protect culture,navratri vote protect culture
135,135,ani vote for india vote for namo,loksabhaelections2019,ani vote india vote namo,ani vote india vote namo
136,136,we are done,loksabhaelections2019,done,done
137,137,all set,loksabhaelections2019,set,set
138,138,mdmhassanphilo1 iamsrk asadowaisi kanhaiyakumar imvkohli beingsalmankhan,loksabhaelections2019,mdmhassanphilo1 iamsrk asadowaisi kanhaiyakumar imvkohli beingsalmankhan,mdmhassanphilo1 iamsrk asadowaisi kanhaiyakumar imvkohli beingsalmankhan
139,139,mitronvote for namo,loksabhaelections2019,mitronvote namo,mitronvote namo
140,140,voting begins for the first phase of read all the latest updates live,loksabhaelections2019,voting begins first phase read latest updates live,voting begin first phase read latest update live
142,142,black is coming back to india,loksabhaelections2019,black coming back india,black coming back india
143,143,pm narendramodi appeals to voters on the 1st day of voting for,loksabhaelections2019,pm narendramodi appeals voters 1st day voting,pm narendramodi appeal voter 1st day voting
145,145,here is how you can find the polling booth near you,loksabhaelections2019,find polling booth near,find polling booth near
146,146,and it starts,loksabhaelections2019,starts,start
148,148,teampelosi call out this lying pos,barrcoverup,teampelosi call lying pos,teampelosi call lying po
149,149,1776stonewall with the cushiest of all jobs working for the people in congress,sanders,1776stonewall cushiest jobs working people congress,1776stonewall cushiest job working people congress
150,150,voting not yet started in neighborhood,loksabhaelections2019,voting yet started neighborhood,voting yet started neighborhood
152,152,india be responsible vote well its on us now heres a reminder from faiz,loksabhaelections2019,india responsible vote well us heres reminder faiz,india responsible vote well u here reminder faiz
153,153,giant bankers being grilled by congress ceo is short of words,budgetproblems,giant bankers grilled congress ceo short words,giant banker grilled congress ceo short word
154,154,koi bhi button dabalo vote toh bjp ko hi jana hai kya bolte ho arvindkejriwal,loksabhaelections2019,koi bhi button dabalo vote toh bjp ko hi jana hai kya bolte ho arvindkejriwal,koi bhi button dabalo vote toh bjp ko hi jana hai kya bolte ho arvindkejriwal
156,156,modi modi modi modi modi modi modi modi modi modi modi modi modi modi modi modi modi modi modi modi,votinground1,modi modi modi modi modi modi modi modi modi modi modi modi modi modi modi modi modi modi modi modi,modi modi modi modi modi modi modi modi modi modi modi modi modi modi modi modi modi modi modi modi
157,157,civilizational battle has begun dear voters vote wisely,loksabhaelections2019,civilizational battle begun dear voters vote wisely,civilizational battle begun dear voter vote wisely
158,158,naruhina07,aayegatohmodihi,naruhina07,naruhina07
159,159,ap votes for glass,voteforglass,ap votes glass,ap vote glass
162,162,please vote,loksabhaelections2019,please vote,please vote
163,163,dont have voters id heres how you can still vote,loksabhaelections2019,dont voters id heres still vote,dont voter id here still vote
165,165,polling begins in 91 seats in phase one of,loksabhaeelctions2019,polling begins 91 seats phase one,polling begin 91 seat phase one
166,166,who will will first phase,loksabhaelections2019,first phase,first phase
167,167,3 verified accounts helped to turn into a trending topic these accounts were abpnewshindi drsubhashmos amp sanjaytandonbjp,voteforindia,3 verified accounts helped turn trending topic accounts abpnewshindi drsubhashmos amp sanjaytandonbjp,3 verified account helped turn trending topic account abpnewshindi drsubhashmos amp sanjaytandonbjp
168,168,vote for ncpspeaks incmaharashtra,loksabhaelections2019,vote ncpspeaks incmaharashtra,vote ncpspeaks incmaharashtra
169,169,go out and vote no reason is big enough not to,loksabhaelections2019,go vote reason big enough,go vote reason big enough
170,170,newslaundry ndtv thewirein mumbaimirror,indiaelections2019,newslaundry ndtv thewirein mumbaimirror,newslaundry ndtv thewirein mumbaimirror
171,171,were at the world orphan drug congress on thur and friday,raredisease,world orphan drug congress thur friday,world orphan drug congress thur friday
172,172,jpnadda my vote for those who had given answer to pakistan in his waymy vote for modi,namoagain,jpnadda vote given answer pakistan waymy vote modi,jpnadda vote given answer pakistan waymy vote modi
173,173,thanthitv,loksabhaelections2019,thanthitv,thanthitv
175,175,everyone who is above 18 please go and vote,loksabhaelections2019,everyone 18 please go vote,everyone 18 please go vote
177,177,maharashtra voting underway at a polling booth in allapalli village in gadchiroli,loksabhaelections2019,maharashtra voting underway polling booth allapalli village gadchiroli,maharashtra voting underway polling booth allapalli village gadchiroli
178,178,republic if bimbos like her get some brains it will truly be im afraid even modi cant do that,acchedin,republic bimbos like get brains truly im afraid even modi cant,republic bimbo like get brain truly im afraid even modi cant
179,179,ecisveep,loksabhaelections2019,ecisveep,ecisveep
180,180,aoc gop just meet in the third chamber of the house to discuss it,wordsmatter,aoc gop meet third chamber house discuss,aoc gop meet third chamber house discus
181,181,john kerry is savage,burnlikeits2004,john kerry savage,john kerry savage
182,182,mat kar votelekin,aayegatohmodihi,mat kar votelekin,mat kar votelekin
183,183,pm modi says he will jail congress leaders in next five years via dna,votekar,pm modi says jail congress leaders next five years via dna,pm modi say jail congress leader next five year via dna
184,184,he even d for us big 3 for life,lelbron,even us big 3 life,even u big 3 life
185,185,vote for bjp modi ji dont waste ur vote,loksabhaelections2019,vote bjp modi ji dont waste ur vote,vote bjp modi ji dont waste ur vote
186,186,ani on the ground in a village in where people have braved all to exercise their right and duty,gadchiroli,ani ground village people braved exercise right duty,ani ground village people braved exercise right duty
187,187,realcandaceo realdonaldtrump this is the trash in congress was b slapped by,candaceowens,realcandaceo realdonaldtrump trash congress b slapped,realcandaceo realdonaldtrump trash congress b slapped
189,189,arvindkejriwal accha drama hai ka congress ka aur pakistan ka par kya public manegi ji nahi,aap,arvindkejriwal accha drama hai ka congress ka aur pakistan ka par kya public manegi ji nahi,arvindkejriwal accha drama hai ka congress ka aur pakistan ka par kya public manegi ji nahi
191,191,chesano here it is upto 5pm it can be 6pm in western parts,loksabhaelections2019,chesano upto 5pm 6pm western parts,chesano upto 5pm 6pm western part
192,192,come on indiacome out and votechoose development choose congress,voteforcongress,come indiacome votechoose development choose congress,come indiacome votechoose development choose congress
193,193,this elections are for future journalism against hatred,voteforindia,elections future journalism hatred,election future journalism hatred
194,194,its on,loksabhaelections2019,,
195,195,vote for stability vote for prosperity,voteforindia,vote stability vote prosperity,vote stability vote prosperity
196,196,come on india let us choose our prime minister,loksabhaelections2019,come india let us choose prime minister,come india let u choose prime minister
197,197,,india,,
198,198,jammu amp kashmir visuals from polling station number 152 in poonch,loksabhaelections2019,jammu amp kashmir visuals polling station number 152 poonch,jammu amp kashmir visuals polling station number 152 poonch
200,200,i have votedhave you,loksabhaelections2019,votedhave,votedhave
202,202,gagansabarwal24 bhai chale fir ka maha parv manane,loksabhaelections2019,gagansabarwal24 bhai chale fir ka maha parv manane,gagansabarwal24 bhai chale fir ka maha parv manane
203,203,desh surshit hath me rupaye pareshan dollar se,doctorsformodi,desh surshit hath rupaye pareshan dollar se,desh surshit hath rupaye pareshan dollar se
204,204,how to contact congress and give them a piece of your mind,politics,contact congress give piece mind,contact congress give piece mind
205,205,this is why we divest,divestuva,divest,divest
206,206,nitin gadkari kiren rijiju among 10 heavyweights in first phase of polls,ndtvnewsbeeps,nitin gadkari kiren rijiju among 10 heavyweights first phase polls,nitin gadkari kiren rijiju among 10 heavyweight first phase poll
208,208,1st phase 1st voters 17th lok sabha,modioncemore,1st phase 1st voters 17th lok sabha,1st phase 1st voter 17th lok sabha
209,209,candace owens full and complete testimony in congress democrats owned,walkaway,candace owens full complete testimony congress democrats owned,candace owen full complete testimony congress democrat owned
210,210,please vote for nation builders,voteforindia,please vote nation builders,please vote nation builder
211,211,ilhanmn get over yourself ilhanmn you are a disgrace to mn and to congress in general,istandagainstilhanomar,ilhanmn get ilhanmn disgrace mn congress general,ilhanmn get ilhanmn disgrace mn congress general
212,212,lok sabha elections 2019 why facebook removing 1 million abusive accounts a day,loksabhaelections2019,lok sabha elections 2019 facebook removing 1 million abusive accounts day,lok sabha election 2019 facebook removing 1 million abusive account day
213,213,lok sabha elections 2019 live updates 1st phase of polling in 91 constituencies begins,loksabhaelections2019,lok sabha elections 2019 live updates 1st phase polling 91 constituencies begins,lok sabha election 2019 live update 1st phase polling 91 constituency begin
214,214,lok sabha election 2019 5 seats up for grabs in uttarakhand,loksabhaelections2019,lok sabha election 2019 5 seats grabs uttarakhand,lok sabha election 2019 5 seat grab uttarakhand
215,215,lok sabha elections 2019 worlds largestever election begins here is whats at stake,loksabhaelections2019,lok sabha elections 2019 worlds largestever election begins whats stake,lok sabha election 2019 world largestever election begin whats stake
216,216,lok sabha elections 2019 big names in fray for first phase,loksabhaelections2019,lok sabha elections 2019 big names fray first phase,lok sabha election 2019 big name fray first phase
217,217,lok sabha elections 2019 all you need to know about lone sikkim seat,loksabhaelections2019,lok sabha elections 2019 need know lone sikkim seat,lok sabha election 2019 need know lone sikkim seat
218,218,lok sabha elections 2019 live phase 1 polling begins in 91 seats across 20 states,loksabhaelections2019,lok sabha elections 2019 live phase 1 polling begins 91 seats across 20 states,lok sabha election 2019 live phase 1 polling begin 91 seat across 20 state
219,219,maziehirono as long as you do and we all know the congress and the senate will not be standing i lines with the rest if us,manhater,maziehirono long know congress senate standing lines rest us,maziehirono long know congress senate standing line rest u
220,220,ceoandhra evm not working in visakha west vivekananda school booth no 90,apelections2019,ceoandhra evm working visakha west vivekananda school booth 90,ceoandhra evm working visakha west vivekananda school booth 90
221,221,democrats in congress feel betrayed by adam schiff gaetz says,foxnews,democrats congress feel betrayed adam schiff gaetz says,democrat congress feel betrayed adam schiff gaetz say
222,222,it looks like priyanka is showing parental property to her kids,dynastymuktamethi,looks like priyanka showing parental property kids,look like priyanka showing parental property kid
223,223,realdonaldtrump what the in congress are not doing is treasonous,demotards,realdonaldtrump congress treasonous,realdonaldtrump congress treasonous
225,225,let us vote for safe and progressive india again,modioncemore,let us vote safe progressive india,let u vote safe progressive india
226,226,narendramodi phukanabhijit newsliveghy pehle vote dia phir chai piya,votinground1,narendramodi phukanabhijit newsliveghy pehle vote dia phir chai piya,narendramodi phukanabhijit newsliveghy pehle vote dia phir chai piya
228,228,myogiadityanath,modioncemore,myogiadityanath,myogiadityanath
229,229,vinitgoenka on indiatoday 8am9 am with sardesairajdeep amp rahulkanwal,loksabhaelections2019,vinitgoenka indiatoday 8am9 sardesairajdeep amp rahulkanwal,vinitgoenka indiatoday 8am9 sardesairajdeep amp rahulkanwal
230,230,visit today and urge your representatives in congress to support the no ban act and,repealtheban,visit today urge representatives congress support ban act,visit today urge representative congress support ban act
232,232,mizoram cm zoramthanga casts his vote in aizawl,loksabhaelections2019,mizoram cm zoramthanga casts vote aizawl,mizoram cm zoramthanga cast vote aizawl
233,233,agree,releasethefullmuellerreport,agree,agree
234,234,amritapandey1,modioncemore,amritapandey1,amritapandey1
235,235,voting for orop 247 organic urea n electricity sudhirchaudhary tajinderbagga,modioncemore,voting orop 247 organic urea n electricity sudhirchaudhary tajinderbagga,voting orop 247 organic urea n electricity sudhirchaudhary tajinderbagga
238,238,narendramodi wah modi ji wah,pakistansupportsmodi,narendramodi wah modi ji wah,narendramodi wah modi ji wah
239,239,did the former sec of state posterize a sitting member of congress with a dunk,holdmybeer,former sec state posterize sitting member congress dunk,former sec state posterize sitting member congress dunk
240,240,vote for development,voteforindia,vote development,vote development
241,241,for orop,votinground1,orop,orop
242,242,can we get on this right away,transparencynow,get right away,get right away
244,244,senschumer but its not beneath the office of where is yalls proof still lost in space,congress,senschumer beneath office yalls proof still lost space,senschumer beneath office yalls proof still lost space
245,245,legislators need to be legislating we are tired of elected officials doing,nothing,legislators need legislating tired elected officials,legislator need legislating tired elected official
247,247,good luck india soch samajh kar vote dein,indiaelections2019,good luck india soch samajh kar vote dein,good luck india soch samajh kar vote dein
248,248,watching pehla charansabse bada ran with aditityagi and sachinarorra,votinground1,watching pehla charansabse bada ran aditityagi sachinarorra,watching pehla charansabse bada ran aditityagi sachinarorra
249,249,vote for sure,voteforindia,vote sure,vote sure
250,250,alternate documents to vote this election,loksabhaelections2019,alternate documents vote election,alternate document vote election
251,251,think before voting,loksabhaelections2019,think voting,think voting
252,252,repmaxinewaters with such grace diapered mnuchin with a little baby powder absolutely beautiful,bravowaters,repmaxinewaters grace diapered mnuchin little baby powder absolutely beautiful,repmaxinewaters grace diapered mnuchin little baby powder absolutely beautiful
254,254,some answers please,whymodioncemore,answers please,answer please
255,255,vote is your power vote wisely,loksabhaelections2019,vote power vote wisely,vote power vote wisely
259,259,narendramodi,voteforindia,narendramodi,narendramodi
260,260,narendramodi already voted this morning will see you soon again leading the way,loksabhaelections2019,narendramodi already voted morning see soon leading way,narendramodi already voted morning see soon leading way
261,261,shandar,dynastymuktamethi,shandar,shandar
262,262,narendramodi,loksabhaelections2019,narendramodi,narendramodi
263,263,realdonaldtrump with or without congress,buildthatdamnwall,realdonaldtrump without congress,realdonaldtrump without congress
264,264,andhrites do you have right choice,apelections2019,andhrites right choice,andhrites right choice
265,265,most derogatory thing done by was not expected by amitshah narendramodi tajinderbagga sghodgerikar,bjp,derogatory thing done expected amitshah narendramodi tajinderbagga sghodgerikar,derogatory thing done expected amitshah narendramodi tajinderbagga sghodgerikar
266,266,modi literally closes the chapter of jayalalitha to give an entry into tamil nadu he used ops amp sasikala for it,loksabhaelections2019,modi literally closes chapter jayalalitha give entry tamil nadu used ops amp sasikala,modi literally close chapter jayalalitha give entry tamil nadu used ops amp sasikala
268,268,genvksingh,votekar,genvksingh,genvksingh
269,269,democrats in congress feel betrayed by adam schiff gaetz says,foxnews,democrats congress feel betrayed adam schiff gaetz says,democrat congress feel betrayed adam schiff gaetz say
270,270,is not having selfpride and working against national interest piyushgoyal,congress,selfpride working national interest piyushgoyal,selfpride working national interest piyushgoyal
271,271,narendramodi vote for,modi,narendramodi vote,narendramodi vote
272,272,vote for modivote for india,modiwapasaayega,vote modivote india,vote modivote india
273,273,see the presence of mind of pappu,modioncemore,see presence mind pappu,see presence mind pappu
274,274,fir ek baar modi sarkar,loksabhaelections2019,fir ek baar modi sarkar,fir ek baar modi sarkar
